Local time,Open,High,Low,Close,Volume
02.12.2024 00:00:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:05:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:10:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:15:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:20:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:25:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:30:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:35:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:40:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:45:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:50:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 00:55:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:00:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:05:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:10:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:15:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:20:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:25:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:30:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:35:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:40:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:45:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:50:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 01:55:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:00:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:05:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:10:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:15:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:20:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:25:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
02.12.2024 02:30:00.000 GMT+0530,1.05748,1.05748,1.05748,1.05748,0
